,Question,Answer
639,Which top-level domains does Amazon Route 53 register through Amazon Registrar and which ones does it register through Gandi?,"See our 
documentation
 for a list of the domains that you can currently register using Amazon Route 53. This list includes information about which registrar is the current registrar of record for each TLD that we sell."
640,Can I transfer my .com and .net domain registrations from Gandi to Amazon?,No. We plan to add this functionality soon.
641,What is Whois? Why is my information shown in Whois?,"Whois is a publicly available database for domain names that lists the contact information and the name servers that are associated with a domain name. Anyone can access the Whois database by using the WHOIS command, which is widely available. It's included in many operating systems, and it's also available as a web application on many websites. The Internet Corporation for Assigned Names and Numbers (ICANN) requires that all domain names have publicly available contact information in case someone needs to get in contact with the domain name holder."
642,How do I transfer my domain name to Route 53?,"To get started, log into your account and click on “Domains”. Then, click the “Transfer Domain” button at the top of the screen and complete the transfer process. Please make sure before you start the transfer process, (1) your domain name is unlocked at your current registrar, (2) you have disabled privacy protection on your domain name (if applicable), and (3) that you have obtained the valid Authorization Code, or “authcode”, from your current registrar which you will need to enter as part of the transfer process."
643,How do I transfer my existing domain name registration to Amazon Route 53 without disrupting my existing web traffic?,"First, you need to get a list of the DNS record data for your domain name, generally available in the form of a “zone file” that you can get from your existing DNS provider. With the DNS record data in hand, you can use Route 53’s Management Console or simple web-services interface to create a hosted zone that can store the DNS records for your domain name and follow its transfer process, which will include such steps as updating the name servers for your domain name to the ones associated with your hosted zone. To complete the domain name transfer process, contact the registrar with whom you registered your domain name and follow its transfer process, which will include steps such as updating the name servers for your domain name to the ones associated with your hosted zone. As soon as your registrar propagates the new name server delegations, the DNS queries from your end users will start to get answered by the Route 53 DNS servers."
644,How do I check on the status of my transfer request?,You can view the status of domain name transfers in the “Alerts” section on the homepage of the Route 53 console.
645,What do I do if my transfer wasn’t successful?,"You will need to contact your current registrar in order to determine why your transfer failed. Once they have resolved the issue, you can resubmit your transfer request."
646,How do I transfer my domain name to a different registrar?,"In order to move your domain name away from Route 53, you need to initiate a transfer request with your new registrar. They will request the domain name be moved to their management."
647,Is there a limit to the number of domains I can manage using Amazon Route 53?,"Each new Amazon Route 53 account is limited to a maximum of 50 domains. Complete our 
request form for a higher limit
 and we will respond to your request within two business days."
648,Does Amazon Route 53 DNS support DNSSEC?,"Amazon Route 53’s DNS services does NOT support DNSSEC at this time. However, our domain name registration service supports configuration of signed DNSSEC keys for domains when DNS service is configured at another provider. More information on configuring DNSSEC for your domain name registration can be found 
here
."
649,Hello,Hello
650,How are you?,I’m fine thanks.
651,Good morning,"Hello, good morning."
652,Bye,"Bye, glad to have helped."
653,Explain what is Flask & its benefits?,"Flask is a web micro framework for Python based on ""Werkzeug, Jinja 2 and good intentions"" BSD licensed. Werkzeug and jingja are two of its dependencies.
Flask is part of the micro-framework. Which means it will have little to no dependencies on external libraries. It makes the framework light while there is little dependency to update and less security bugs. "
654,"Mention what is the difference between Django, Pyramid, and Flask?","Flask is a ""microframework"" primarily build for a small application with simpler requirements. In flask, you have to use external libraries. Flask is ready to use.
Pyramid are build for larger applications. It provides flexibility and lets the developer use the right tools for their project. The developer can choose the database, URL structure, templating style and more. Pyramid is heavy configurable.
Like Pyramid, Django can also used for larger applications. It includes an ORM. "
655,Mention what is Flask-WTF and what are their features?,"Flask-WTF offers simple integration with WTForms. Features include for Flask WTF are
   Integration with wtforms
    Secure form with csrf token
    Global csrf protection
    Internationalization integration
    Recaptcha supporting
    File upload that works with Flask Uploads"
656, Explain what is the common way for the Flask script to work?,"The common way for the flask script to work is
   Either it should be the import path for your application
    Or the path to a Python file"
657,is Flask an MVC model and if yes give an example showing MVC pattern for your application?,"Basically, Flask is a minimalistic framework which behaves same as MVC framework. So MVC is a perfect fit for Flask, and the pattern for MVC we will consider for the following example "
658,What is Python? What are the benefits of using Python?,"Python is a programming language with objects, modules, threads, exceptions and automatic memory management. The benefits of pythons are that it is simple and easy, portable, extensible, build-in data structure and it is an open source."
659,What is PEP 8?,"PEP 8 is a coding convention, a set of recommendation, about how to write your Python code more readable."
660,What is pickling and unpickling?,"Pickle module accepts any Python object and converts it into a string representation and dumps it into a file by using dump function, this process is called pickling. While the process of retrieving original Python objects from the stored string representation is called unpickling."
661,How Python is interpreted?,"ython language is an interpreted language. Python program runs directly from the source code. It converts the source code that is written by the programmer into an intermediate language, which is again translated into machine language that has to be executed."
662,How memory is managed in Python?,"    Python memory is managed by Python private heap space. All Python objects and data structures are located in a private heap. The programmer does not have an access to this private heap and interpreter takes care of this Python private heap.
    The allocation of Python heap space for Python objects is done by Python memory manager. The core API gives access to some tools for the programmer to code.
    Python also have an inbuilt garbage collector, which recycle all the unused memory and frees the memory and makes it available to the heap space."
663,What are the tools that help to find bugs or perform static analysis?,PyChecker is a static analysis tool that detects the bugs in Python source code and warns about the style and complexity of the bug. Pylint is another tool that verifies whether the module meets the coding standard
664,What are Python decorators?,A Python decorator is a specific change that we make in Python syntax to alter functions easily.
665,What is the difference between list and tuple?,The difference between list and tuple is that list is mutable while tuple is not. Tuple can be hashed for e.g as a key for dictionaries.
666,How are arguments passed by value or by reference?,"Everything in Python is an object and all variables hold references to the objects. The references values are according to the functions; as a result you cannot change the value of the references. However, you can change the objects if it is mutable."
667,What is Dict and List comprehensions are?,They are syntax constructions to ease the creation of a Dictionary or List based on existing iterable.
668,What are the built-in type does python provides?,"There are mutable and Immutable types of Pythons built in types Mutable built-in types
    List Sets   Dictionaries Immutable built-in types Strings ,Tuples  ,Numbers"
669,What is namespace in Python?,"In Python, every name introduced has a place where it lives and can be hooked for. This is known as namespace. It is like a box where a variable name is mapped to the object placed. Whenever the variable is searched out, this box will be searched, to get corresponding object."
670,What is lambda in Python?,It is a single expression anonymous function often used as inline function.
671,Why lambda forms in python does not have statements?,A lambda form in python does not have statements as it is used to make new function object and then return them at runtime.
672,What is pass in Python?,"Pass means, no-operation Python statement, or in other words it is a place holder in compound statement, where there should be a blank left and nothing has to be written there."
673,n Python what are iterators?,"In Python, iterators are used to iterate a group of elements, containers like list."
674,What is unittest in Python?,"A unit testing framework in Python is known as unittest. It supports sharing of setups, automation testing, shutdown code for tests, aggregation of tests into collections etc."
675,In Python what is slicing?,"A mechanism to select a range of items from sequence types like list, tuple, strings etc. is known as slicing."
676,What are generators in Python?,The way of implementing iterators are known as generators. It is a normal function except that it yields expression in the function.
677,What is docstring in Python?,"A Python documentation string is known as docstring, it is a way of documenting Python functions, modules and classes."
678,How can you copy an object in Python?,"To copy an object in Python, you can try copy.copy () or copy.deepcopy() for the general case. You cannot copy all objects but most of them."
679,What is negative index in Python?,"Python sequences can be index in positive and negative numbers. For positive index, 0 is the first index, 1 is the second index and so forth. For negative index, (-1) is the last index and (-2) is the second last index and so forth."
680,How you can convert a number to a string?,"In order to convert a number into a string, use the inbuilt function str(). If you want a octal or hexadecimal representation, use the inbuilt function oct() or hex()."
681,What is the difference between Xrange and range?,"Xrange returns the xrange object while range returns the list, and uses the same memory and no matter what the range size is."
682,What is module and package in Python?,"In Python, module is the way to structure program. Each Python program file is a module, which imports other modules like objects and attributes.
The folder of Python program is a package of modules. A package can have modules or subfolders. "
